Sample No.,Well,Sample Name,Comment,Peak No.,Time (sec.),Height (mV),Area (mV·sec),Size (bp)/(nt),Attribute,Conc. (ng/µL),Migration Index (%),Area (mV·µm),Molarity (nmol/L),Start Index (%),End Index (%)
1,X1-1,X1,,1,46.40,58.25,64.74,-,(LM),-,0.00,692.20,-,-2.53,2.64
1,X1-1,X1,,2,49.52,8.40,7.93,100,,-,5.41,74.42,-,3.64,7.14
1,X1-1,X1,,3,52.54,5.62,5.20,200,,-,10.64,43.21,-,9.29,12.41
1,X1-1,X1,,4,56.10,5.58,6.48,300,,-,16.82,47.32,-,15.01,18.59
1,X1-1,X1,,5,59.64,7.42,9.94,400,,-,22.95,64.16,-,20.94,25.17
1,X1-1,X1,,6,62.88,16.35,26.14,500,,-,28.57,151.59,-,26.07,31.31
1,X1-1,X1,,7,66.34,3.00,4.49,600,,-,34.57,23.38,-,32.56,36.79
1,X1-1,X1,,8,69.28,2.62,2.13,700,,-,39.67,10.32,-,37.69,39.81
1,X1-1,X1,,9,72.58,2.67,2.84,800,,-,45.39,12.58,-,42.79,45.42
1,X1-1,X1,,10,73.14,2.67,4.33,900,,-,46.36,18.34,-,45.77,48.75
1,X1-1,X1,,11,76.90,11.60,29.35,1000,,-,52.88,115.49,-,49.13,55.37
1,X1-1,X1,,12,104.08,13.50,28.68,-,(UM),-,100.00,59.90,-,98.58,106.24
2,A1,A1,,1,45.64,77.00,59.09,-,(LM),-,0.00,649.32,-,-1.90,3.57
2,A1,A1,,2,51.26,18.94,16.88,177,,3.11,9.73,146.28,26.39,8.13,12.25
2,A1,A1,,3,103.42,13.22,27.73,-,(UM),-,100.00,58.79,-,97.16,105.71
3,A2,A2,,1,45.18,78.31,55.74,-,(LM),-,0.00,624.66,-,-1.81,2.73
3,A2,A2,,2,48.04,10.06,17.03,93,,3.16,5.06,170.15,51.04,2.73,6.94
3,A2,A2,,3,51.04,32.95,44.48,193,,7.35,10.37,395.58,57.18,6.94,13.31
3,A2,A2,,4,53.06,3.00,2.99,248,,0.45,13.95,24.21,2.72,13.31,15.75
3,A2,A2,,5,55.08,7.11,7.66,310,,1.08,17.52,57.92,5.21,15.75,19.82
3,A2,A2,,6,57.58,6.42,8.19,382,,1.05,21.95,56.70,4.14,19.82,24.71
3,A2,A2,,7,101.68,16.06,30.69,-,(UM),-,100.00,67.28,-,97.52,105.81
4,A3,A3,,1,45.64,71.04,58.91,-,(LM),-,0.00,648.40,-,-1.97,2.25
4,A3,A3,,2,48.08,33.12,46.09,79,,6.35,4.30,454.56,120.74,2.25,6.48
4,A3,A3,,3,57.38,287.34,255.56,359,,24.83,20.67,1776.79,103.86,18.59,27.04
4,A3,A3,,4,102.44,22.36,41.13,-,(UM),-,100.00,89.44,-,95.81,105.49
5,A4,A4,,1,45.20,74.14,54.69,-,(LM),-,0.00,614.06,-,-1.98,1.76
5,A4,A4,,2,47.46,111.50,223.03,76,,32.68,4.13,2215.95,645.61,1.76,9.51
5,A4,A4,,3,56.40,652.39,583.34,356,,61.92,20.49,4199.02,261.17,17.34,27.59
5,A4,A4,,4,66.72,12.66,28.78,694,,2.14,39.37,144.94,4.62,36.74,47.46
5,A4,A4,,5,99.86,21.18,37.18,-,(UM),-,100.00,84.76,-,96.19,106.29
6,A5,A5,,1,46.14,62.82,62.48,-,(LM),-,0.00,672.43,-,-2.23,2.47
6,A5,A5,,2,48.56,9.71,10.96,75,,1.97,4.09,106.36,39.40,2.47,5.84
6,A5,A5,,3,50.40,4.98,8.69,127,,1.43,7.19,77.47,16.95,5.84,12.36
6,A5,A5,,4,58.22,51.86,44.37,355,,5.56,20.40,300.39,23.51,18.57,23.61
